Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535761,Jivno,267,180,180,"15,00","0,00","0,00","2,22","0,00","9,44","6,11","0,00","0,55","2,22","0,00","0,00","11,66","0,55","6,66","27,22","0,00","0,00","2,22","0,00","0,55","0,00","0,00","15,55","0,00"
535982,Kamenná,246,150,150,"2,66","0,00","0,66","6,00","1,33","1,33","22,00","1,33","0,00","0,00","0,66","0,00","8,00","0,00","0,66","39,33","2,66","0,00","0,00","0,66","1,33","1,33","1,33","8,00","0,66"
544663,Kamenný Újezd,1 837,1 273,1 261,"20,30","0,00","0,23","5,31","0,23","5,47","6,58","1,26","0,55","0,79","0,07","0,23","10,30","0,07","5,94","24,42","0,00","0,00","8,48","0,00","1,58","0,39","0,00","7,45","0,23"
535877,Komařice,264,164,163,"14,11","0,61","0,00","1,22","0,00","5,52","13,49","1,22","0,61","0,00","0,00","0,00","12,26","0,61","3,68","27,60","0,00","0,00","7,36","0,00","0,61","0,00","0,61","9,81","0,61"
529729,Kvítkovice,91,58,58,"13,79","0,00","0,00","3,44","0,00","3,44","5,17","0,00","0,00","0,00","0,00","0,00","10,34","0,00","6,89","43,10","0,00","0,00","1,72","0,00","0,00","0,00","0,00","12,06","0,00"
544736,Ledenice,1 947,1 251,1 243,"12,30","0,32","0,08","6,19","0,24","6,35","9,81","1,20","0,96","2,41","0,24","0,00","10,05","0,16","4,34","24,69","0,00","0,16","7,80","0,00","0,88","0,32","0,48","10,86","0,08"
544744,Libín,308,222,221,"13,57","0,00","0,00","4,52","0,00","9,50","14,47","1,80","2,71","0,00","0,00","0,45","6,78","0,00","7,23","17,19","0,00","0,00","9,50","0,00","0,45","0,90","0,45","9,50","0,90"
535800,Libníč,410,269,268,"16,04","0,37","0,00","10,07","0,00","8,20","4,47","1,49","0,74","5,22","0,00","0,00","5,97","0,00","7,46","21,64","0,00","0,00","4,47","0,00","0,74","0,74","0,00","12,31","0,00"
544761,Lipí,508,341,340,"16,76","0,00","0,00","6,47","0,00","7,05","7,94","2,64","2,35","0,88","0,00","0,29","10,29","0,00","4,41","30,00","0,00","0,00","3,23","0,00","0,58","0,88","0,29","5,88","0,00"
544779,Lišov,3 437,2 198,2 185,"10,84","0,13","0,18","4,53","0,13","15,19","8,05","1,00","0,04","1,55","0,09","0,18","7,59","0,09","3,56","26,95","0,00","0,13","6,31","0,04","1,41","0,50","0,13","11,25","0,00"
544795,Litvínovice,1 906,1 404,1 399,"22,51","0,00","0,14","4,86","0,14","4,86","4,86","1,35","0,42","1,57","0,14","0,14","11,22","0,28","6,57","25,16","0,00","0,07","4,50","0,00","3,00","0,35","0,00","7,64","0,14"
544809,Ločenice,562,346,345,"17,10","0,00","0,57","8,69","0,00","4,34","9,27","1,73","0,86","0,28","0,00","1,15","9,27","0,00","4,63","27,24","0,00","0,00","3,76","0,00","0,28","0,57","0,00","9,27","0,86"
535940,Mazelov,169,106,106,"2,83","0,00","0,00","6,60","0,00","3,77","17,92","0,00","3,77","0,00","0,00","0,00","2,83","1,88","1,88","30,18","0,00","0,94","6,60","0,94","3,77","0,94","0,00","15,09","0,00"
544817,Mladošovice,328,217,216,"6,94","0,00","0,00","7,40","0,00","4,62","12,03","0,00","2,31","3,70","0,00","0,00","10,18","0,00","2,77","31,48","0,00","0,92","5,09","0,92","0,92","0,00","0,00","10,18","0,46"
598615,Modrá Hůrka,70,40,39,"5,12","0,00","0,00","0,00","0,00","2,56","10,25","0,00","0,00","5,12","0,00","0,00","12,82","0,00","2,56","25,64","0,00","0,00","28,20","0,00","0,00","0,00","0,00","7,69","0,00"
535842,Mokrý Lom,83,68,67,"13,43","0,00","0,00","4,47","0,00","5,97","10,44","2,98","0,00","1,49","0,00","2,98","11,94","0,00","7,46","28,35","0,00","1,49","1,49","0,00","0,00","0,00","0,00","7,46","0,00"
535281,Mydlovary,249,157,156,"7,69","0,00","0,00","5,12","0,00","6,41","6,41","5,76","2,56","0,00","0,64","0,00","9,61","0,00","3,84","34,61","0,00","0,00","7,05","0,00","0,64","0,00","0,64","8,33","0,64"
